               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.034816,            0.044311,            0.014347,             0.74248,              0.1576,             0.20944,             0.10579,             0.05371,            0.044718,            0.049057,            0.005545,            0.005545,            0.005545
                 137,            0.035353,            0.040205,            0.015288,             0.61855,             0.16245,             0.20744,             0.10158,            0.054354,            0.044817,            0.050165,            0.005512,            0.005512,            0.005512
                 138,            0.034352,            0.037255,             0.01445,             0.61472,             0.15404,              0.1949,            0.097045,            0.053826,            0.045624,            0.050512,            0.005479,            0.005479,            0.005479
                 139,            0.036117,            0.040703,            0.013716,             0.84333,             0.11725,             0.18899,              0.0932,            0.055627,            0.047292,            0.051552,            0.005446,            0.005446,            0.005446
                 140,            0.035693,            0.038235,            0.015248,             0.62024,             0.14624,             0.19794,            0.086595,            0.056314,            0.047072,            0.050252,            0.005413,            0.005413,            0.005413
                 141,            0.037571,            0.043103,            0.014152,             0.55569,             0.15834,             0.19358,            0.096356,            0.056023,             0.04672,            0.049644,             0.00538,             0.00538,             0.00538
                 142,            0.037292,            0.043547,             0.01421,             0.69232,             0.16302,             0.20619,            0.090978,            0.055953,            0.046932,            0.049284,            0.005347,            0.005347,            0.005347
                 143,            0.034756,            0.041531,            0.014441,             0.52507,             0.15365,             0.17686,            0.088596,            0.055808,            0.045988,            0.049438,            0.005314,            0.005314,            0.005314
                 144,             0.03501,            0.038807,            0.013946,             0.70469,             0.14162,              0.1815,            0.088568,            0.056566,            0.046569,            0.049222,            0.005281,            0.005281,            0.005281
                 145,            0.033829,            0.040758,            0.014428,             0.62007,             0.14565,             0.18735,            0.094213,            0.055084,            0.046432,            0.049276,            0.005248,            0.005248,            0.005248
                 146,            0.033955,            0.036296,            0.014537,             0.69962,             0.12991,             0.18169,            0.098751,            0.056283,            0.046756,             0.04871,            0.005215,            0.005215,            0.005215
                 147,            0.034766,            0.039717,            0.013255,             0.68615,             0.14822,             0.19439,            0.098673,            0.054264,            0.045589,            0.049438,            0.005182,            0.005182,            0.005182
                 148,            0.034383,            0.037353,            0.014245,             0.61869,             0.17053,             0.20565,             0.10995,            0.055399,            0.045475,            0.048813,            0.005149,            0.005149,            0.005149
                 149,             0.03431,            0.041085,            0.013136,             0.52868,             0.19141,             0.20479,             0.10649,            0.055699,            0.044985,             0.04846,            0.005116,            0.005116,            0.005116
                 150,            0.035641,            0.037941,            0.015261,             0.62568,             0.19373,             0.20763,             0.10864,             0.05542,            0.045073,            0.048921,            0.005083,            0.005083,            0.005083
                 151,            0.034459,            0.036428,            0.013933,             0.57136,             0.18516,             0.20183,             0.10914,            0.055348,            0.044408,            0.048203,             0.00505,             0.00505,             0.00505
                 152,            0.034917,            0.035484,            0.015398,              0.5638,             0.21595,             0.21074,             0.11509,            0.055167,             0.04464,            0.048519,            0.005017,            0.005017,            0.005017
                 153,            0.032238,            0.031758,             0.01334,             0.58256,             0.19547,             0.20562,              0.1123,            0.055678,            0.044353,            0.048622,            0.004984,            0.004984,            0.004984
                 154,             0.03314,            0.036508,            0.013823,             0.59389,              0.2159,             0.20829,             0.11577,            0.054982,            0.043822,            0.048172,            0.004951,            0.004951,            0.004951
                 155,            0.034093,            0.036215,            0.012429,             0.58155,             0.22203,             0.21073,             0.11418,            0.055025,            0.044815,            0.048027,            0.004918,            0.004918,            0.004918
                 156,            0.033709,            0.040847,            0.014074,             0.56539,             0.19657,             0.21768,             0.10834,            0.056184,            0.045442,            0.047937,            0.004885,            0.004885,            0.004885
                 157,            0.035777,            0.038579,            0.015292,             0.58542,             0.17756,             0.21178,             0.10298,            0.055609,            0.046021,            0.047953,            0.004852,            0.004852,            0.004852
                 158,            0.034142,             0.03951,            0.012415,             0.56059,             0.18987,             0.21275,             0.10418,            0.055476,            0.046707,             0.04786,            0.004819,            0.004819,            0.004819
                 159,            0.035291,             0.04041,            0.013816,             0.70236,             0.16272,             0.21184,             0.10817,            0.055871,            0.046982,            0.048107,            0.004786,            0.004786,            0.004786
                 160,            0.032509,            0.039809,            0.012573,             0.49031,             0.17153,             0.20081,            0.099704,            0.056413,            0.046382,             0.04802,            0.004753,            0.004753,            0.004753
